3379513561108795 	0046280238875462
3379513561108795 	1157391349986573
3379513561108795 	2268402450097684
3379513561108795 	3379513561108795
3379513561108795 	4480624672219806
3379513561108795 	5591735783320917
3379513561108795 	6602846894431028
3379513561108795 	7713957905542139
3379513561108795 	8824068016653240
3379513561108795 	9935179127764351
4563960122001999 	0129526788667555
4563960122001999 	1230637899778666
4563960122001999 	2341748900889777
4563960122001999 	3452859011990888
4563960122001999 	4563960122001999
4563960122001999 	5674071233112000
4563960122001999 	6785182344223111
4563960122001999 	7896293455334222
4563960122001999 	8907304566445333
4563960122001999 	9018415677556444

